metric,contrast,raw_coef,raw_ci_low,raw_ci_high,raw_p,adj_coef,adj_ci_low,adj_ci_high,adj_p,shrinkage_pct,n_templates,source
stable_rank,hallucination_prone - factual,0.6116933049399222,0.1273980444749338,1.0959885654049106,0.01330313520718327,0.6116933049399256,0.1226942030166921,1.1006924068631592,0.014216880749608531,-5.551115123125783e-13,102,spectral
stable_rank,reasoning - factual,-0.38360674196048505,-1.1072766696789738,0.34006318575800354,0.29882893738386884,-0.38360674196048494,-1.102327178620158,0.33511369469918817,0.2955136129256011,3.3306690738754696e-14,102,spectral
spectral_gap,coding - factual,-0.028174062963993544,-0.096284182805175,0.039936056877187924,0.41751035770766876,-0.028174062963993253,-0.09627079187603174,0.03992266594804523,0.417418788639043,1.0325074129013956e-12,102,spectral
spectral_gap,hallucination_prone - factual,0.028015847084178192,-0.03427378328299174,0.09030547745134813,0.37803212319170776,0.028015847084178414,-0.033981446188261016,0.09001314035661785,0.37578747965839754,-7.993605777301127e-13,102,spectral
spectral_gap,reasoning - factual,-0.058587069959587096,-0.17973459952179674,0.06256045960262255,0.3432106083502141,-0.05858706995958694,-0.17941183656148327,0.06223769664230938,0.34192296341525763,2.55351295663786e-13,102,spectral
chi_fisher_max,coding - factual,3.2437593253379404,-4.683485505285415,11.171004155961295,0.4225528781230544,3.2437593253379515,-4.607045280747673,11.094563931423577,0.41805001590307567,-3.3306690738754696e-13,102,spectral
chi_fisher_max,hallucination_prone - factual,-8.061197664138794,-15.174854201653702,-0.9475411266238867,0.026348810385845564,-8.061197664138778,-15.03744235648,-1.0849529717975566,0.023526204111809373,1.9984014443252818e-13,102,spectral
chi_fisher_max,reasoning - factual,-13.787882639008998,-20.79923921009852,-6.776526067919475,0.0001160692123510505,-13.787882639008991,-20.691292332621764,-6.884472945396221,9.05723712965385e-05,5.551115123125783e-14,102,spectral
chi_fisher_along_hidden_lead,coding - factual,10.744336609517886,3.5145625206141355,17.974110698421637,0.0035826315062393076,10.744336609517891,3.5357378425128747,17.95293537652291,0.0034856884268236613,-4.440892098500626e-14,102,spectral
chi_fisher_along_hidden_lead,hallucination_prone - factual,-7.355187980086663,-12.797510834814208,-1.9128651253591178,0.008076587844395692,-7.355187980086665,-12.750524142470237,-1.9598518177030924,0.007541875360391786,-2.220446049250313e-14,102,spectral
chi_fisher_along_hidden_lead,reasoning - factual,-8.54673683201263,-14.792397255388284,-2.301076408636977,0.007316822052387542,-8.546736832012623,-15.02004561446364,-2.0734280495616053,0.009660543050275689,7.771561172376096e-14,102,spectral
lead_alignment,coding - factual,0.2264568817058522,0.09540183154881215,0.35751193186289226,0.0007073241196111079,0.22645688170585243,0.09562215488541073,0.35729160852629416,0.0006927624892273061,-8.881784197001252e-14,102,spectral
lead_alignment,hallucination_prone - factual,-0.20725682910392482,-0.34161636584676436,-0.07289729236108528,0.002499928342448234,-0.20725682910392468,-0.3407049185324287,-0.07380873967542068,0.0023345551043705065,6.661338147750939e-14,102,spectral
lead_alignment,reasoning - factual,-0.16339760973068615,-0.3981672826611018,0.07137206319972947,0.17253057319366394,-0.1633976097306859,-0.40042547330447703,0.07363025384310523,0.17665653201340947,1.5543122344752192e-13,102,spectral
entropy,coding - factual,0.8546318598091612,0.47647464153216007,1.2327890780861623,9.445150403943513e-06,0.8546318598091622,0.4727055430566867,1.2365581765616378,1.1556690390210684e-05,-1.1102230246251565e-13,102,spectral
entropy,hallucination_prone - factual,1.0216639526188382,0.7091148143572125,1.3342130908804641,1.4865314711480743e-10,1.0216639526188391,0.7043707359501046,1.3389571692875737,2.7731126401699257e-10,-8.881784197001252e-14,102,spectral
entropy,reasoning - factual,1.2316759295761606,0.8245677778652699,1.638784081287051,3.0343755725813333e-09,1.2316759295761601,0.8362410198675811,1.627110839284739,1.0294672108993254e-09,3.3306690738754696e-14,102,spectral
top1_prob,coding - factual,-0.17867038249969552,-0.27027111155029776,-0.08706965344909329,0.00013184988126957253,-0.17867038249969538,-0.27052265915213225,-0.08681810584725849,0.00013756392528255077,7.771561172376096e-14,102,spectral
top1_prob,hallucination_prone - factual,-0.2336620464921002,-0.31317471279781556,-0.15414938018638485,8.426298908435368e-09,-0.23366204649209998,-0.31313210191846536,-0.1541919910657346,8.273499115359471e-09,9.992007221626409e-14,102,spectral
top1_prob,reasoning - factual,-0.24508250411599922,-0.34735365965893356,-0.14281134857306488,2.6419668627976803e-06,-0.24508250411599902,-0.3446262905537879,-0.14553871767821014,1.3962191685471614e-06,7.771561172376096e-14,102,spectral
